cid,title
2/Art-Photography,"Art & Photography"
3389/Audio-Books,"Audio Books"
213/Biography,"Biography"
928/Business-Finance-Law,"Business, Finance & Law"
2455/Childrens-Books,"Children's Books"
1897/Computing,"Computing"
2942/Crafts-Hobbies,"Crafts & Hobbies"
2616/Crime-Thriller,"Crime & Thriller"
240/Dictionaries-Languages,"Dictionaries & Languages"
3245/Entertainment,"Entertainment"
333/Fiction,"Fiction"
2858/Food-Drink,"Food & Drink"
2633/Graphic-Novels-Anime-Manga,"Graphic Novels, Anime & Manga"
2770/Health,"Health"
2638/History-Archaeology,"History & Archaeology"
2892/Home-Garden,"Home & Garden"
2978/Humour,"Humour"
1279/Medical,"Medical"
2819/Mind-Body-Spirit,"Mind, Body & Spirit"
2985/Natural-History,"Natural History"
2802/Personal-Development,"Personal Development"
283/Poetry-Drama,"Poetry & Drama"
375/Reference,"Reference"
3120/Religion,"Religion"
2630/Romance,"Romance"
1476/Science-Geography,"Science & Geography"
2623/Science-Fiction-Fantasy-Horror,"Science Fiction, Fantasy & Horror"
632/Society-Social-Sciences,"Society & Social Sciences"
3013/Sport,"Sport"
3385/Stationery,"Stationery"
3328/Teaching-Resources-Education,"Teaching Resources & Education"
1708/Technology-Engineering,"Technology & Engineering"
3391/Teen-Young-Adult,"Teen & Young Adult"
2967/Transport,"Transport"
3098/Travel-Holiday-Guides,"Travel & Holiday Guides"
