Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
58782897,The End of the World Is Just the Beginning: Mapping the Collapse of Globalization,Peter Zeihan,"Zeihan, Peter",,"=""006323047X""","=""9780063230477""",0,4.36,Harper Business,Hardcover,512,2022,2022,,2022/08/31,to-read,to-read (#579),to-read,,,,0,,,0,,,,,
1479676,Art Of Japanese Joinery,Kiyosi Seike,"Seike, Kiyosi",Kiyosi Sieke,"=""0834815168""","=""9780834815162""",0,4.19,Weatherhill,Paperback,128,1977,1977,,2022/08/31,to-read,to-read (#578),to-read,,,,0,,,0,,,,,
13592090,Operative Design: A Catalog of Spatial Verbs,Anthony di Mari,"Mari, Anthony di",Megan Panzano,"=""9063692897""","=""9789063692896""",0,4.14,BIS Publishers,Paperback,144,2013,2012,,2022/08/31,to-read,to-read (#577),to-read,,,,0,,,0,,,,,
53459822,World Wide Waste -  How digital is killing our planet—And what we can do about it,Gerry McGovern,"McGovern, Gerry",,"=""""","=""9781916444638""",0,4.35,Silver Beach Publishing,ebook,184,2020,,,2022/08/28,to-read,to-read (#576),to-read,,,,0,,,0,,,,,
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,"=""0393355640""","=""9780393355642""",0,4.17,W. W. Norton  Company,Paperback,288,2018,1988,,2022/08/22,to-read,to-read (#575),to-read,,,,0,,,0,,,,,
2043051,The Fear of Cooking: The Absolutely Foolproof Cookbook for Beginners (and Everyone Else),Bob Scher,"Scher, Bob",,"=""0395322162""","=""9780395322161""",0,4.50,Houghton Mifflin,Unknown Binding,397,1984,1984,,2022/08/22,to-read,to-read (#574),to-read,,,,0,,,0,,,,,
50714359,The Unfair Advantage: How You Already Have What It Takes to Succeed,Ash Ali,"Ali, Ash",Hasan Kubba,"=""1788163311""","=""9781788163316""",0,4.09,Profile Books,Hardcover,256,2020,,,2022/08/16,to-read,to-read (#573),to-read,,,,0,,,0,,,,,
20995,The Art of Seduction,Robert Greene,"Greene, Robert","Мариана Мелнишка, Робърт Грийн","=""1861977697""","=""9781861977694""",0,4.00,Penguin,Paperback,466,2001,2001,,2022/08/16,to-read,to-read (#572),to-read,,,,0,,,0,,,,,
34207317,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,"Tracy, Brian",,"=""""","=""""",0,3.87,Berrett-Koehler Publishers,Kindle Edition,145,2017,2001,,2022/08/16,to-read,to-read (#571),to-read,,,,0,,,0,,,,,
50882070,PhD 101: The Manual To Academia,John  Hockey,"Hockey, John",Dr. Sandeep Gupta,"=""""","=""""",0,5.00,,Kindle Edition,116,2019,,,2022/07/28,to-read,to-read (#570),to-read,,,,0,,,0,,,,,
